;ProbandId;BlockId;Condition;ConditionId;ResultLayerDifference;ResultLayerDifference_Abs;ResultLayerDifference_Proz;BothCorrect;OneCorrect;NoneCorrect;ResultLayerCorrectCount;ResultLayerCorrectRatio;ResultNumberCorrectCount;ResultNumberCorrectRatio;ResultLayerDifferenceRatio;ResultLayerDifferenceRatio_Abs;ResultLayerDifferenceRatio_Proz;ResultLayerErrorCount;ResultNumberErrorCount;ResultErrorLayerANDNumber;ResultErrorLayerXORNumber;ResultErrorLayerORNumber;TrialDurationMeanS
100;15;0;Visual Feedback;2;-6;6;0.8571428571428571;20;0;1;20;0.9523809523809523;20;0.9523809523809523;-0.2857142857142857;0.2857142857142857;0.04081632653061224;1;1;1;0;1;28.606095238095243
101;15;1;No Feedback;0;5;5;0.7142857142857143;20;0;1;20;0.9523809523809523;20;0.9523809523809523;0.23809523809523808;0.23809523809523808;0.034013605442176874;1;1;1;0;1;39.29423809523811
102;15;2;Combined Feedback;3;0;0;0.0;21;0;0;21;1.0;21;1.0;0.0;0.0;0.0;0;0;0;0;0;23.725285714285718
103;15;3;Tactile Feedback;1;4;4;0.5714285714285714;19;0;2;19;0.9047619047619048;19;0.9047619047619048;0.19047619047619047;0.19047619047619047;0.027210884353741496;2;2;2;0;2;33.94661904761905
108;16;0;No Feedback;0;1;3;0.42857142857142855;18;3;0;18;0.8571428571428571;21;1.0;0.047619047619047616;0.14285714285714285;0.02040816326530612;3;0;0;3;3;39.626571428571424
109;16;1;Tactile Feedback;1;9;11;1.5714285714285714;18;1;2;18;0.8571428571428571;19;0.9047619047619048;0.42857142857142855;0.5238095238095238;0.07482993197278912;3;2;2;1;3;37.256285714285724
110;16;2;Visual Feedback;2;0;2;0.2857142857142857;19;2;0;19;0.9047619047619048;21;1.0;0.0;0.09523809523809523;0.013605442176870748;2;0;0;2;2;29.17228571428572
111;16;3;Combined Feedback;3;3;5;0.7142857142857142;19;1;1;19;0.9047619047619048;20;0.9523809523809523;0.14285714285714285;0.23809523809523808;0.03401360544217687;2;1;1;1;2;31.694619047619053
116;17;0;No Feedback;0;5;11;1.5714285714285712;14;4;3;15;0.7142857142857143;17;0.8095238095238095;0.23809523809523808;0.5238095238095238;0.0748299319727891;6;4;3;4;7;38.891904761904755
117;17;1;Tactile Feedback;1;4;6;0.857142857142857;15;6;0;15;0.7142857142857143;21;1.0;0.19047619047619047;0.2857142857142857;0.040816326530612235;6;0;0;6;6;38.513619047619045
118;17;2;Visual Feedback;2;0;0;0.0;21;0;0;21;1.0;21;1.0;0.0;0.0;0.0;0;0;0;0;0;32.878619047619054
119;17;3;Combined Feedback;3;0;0;0.0;21;0;0;21;1.0;21;1.0;0.0;0.0;0.0;0;0;0;0;0;30.98457142857143
124;18;0;Tactile Feedback;1;0;0;0.0;21;0;0;21;1.0;21;1.0;0.0;0.0;0.0;0;0;0;0;0;36.32890476190475
125;18;1;Combined Feedback;3;0;0;0.0;21;0;0;21;1.0;21;1.0;0.0;0.0;0.0;0;0;0;0;0;26.409666666666663
126;18;2;Visual Feedback;2;0;0;0.0;20;1;0;21;1.0;20;0.9523809523809523;0.0;0.0;0.0;0;1;0;1;1;20.408666666666665
127;18;3;No Feedback;0;0;0;0.0;21;0;0;21;1.0;21;1.0;0.0;0.0;0.0;0;0;0;0;0;25.06052380952381
132;19;0;No Feedback;0;-6;6;0.8571428571428571;19;1;1;19;0.9047619047619048;20;0.9523809523809523;-0.2857142857142857;0.2857142857142857;0.04081632653061224;2;1;1;1;2;52.147333333333336
133;19;1;Tactile Feedback;1;12;12;1.714285714285714;16;3;2;16;0.7619047619047619;19;0.9047619047619048;0.5714285714285714;0.5714285714285714;0.08163265306122447;5;2;2;3;5;42.936571428571426
134;19;2;Combined Feedback;3;0;0;0.0;21;0;0;21;1.0;21;1.0;0.0;0.0;0.0;0;0;0;0;0;30.164142857142853
135;19;3;Visual Feedback;2;0;0;0.0;21;0;0;21;1.0;21;1.0;0.0;0.0;0.0;0;0;0;0;0;25.552142857142854
140;20;0;Tactile Feedback;1;0;0;0.0;21;0;0;21;1.0;21;1.0;0.0;0.0;0.0;0;0;0;0;0;47.70633333333333
141;20;1;Visual Feedback;2;0;0;0.0;21;0;0;21;1.0;21;1.0;0.0;0.0;0.0;0;0;0;0;0;31.869142857142855
142;20;2;No Feedback;0;0;0;0.0;21;0;0;21;1.0;21;1.0;0.0;0.0;0.0;0;0;0;0;0;51.18676190476191
143;20;3;Combined Feedback;3;0;0;0.0;21;0;0;21;1.0;21;1.0;0.0;0.0;0.0;0;0;0;0;0;31.761000000000006
148;21;0;Tactile Feedback;1;-3;15;2.142857142857143;8;9;4;10;0.47619047619047616;15;0.7142857142857143;-0.14285714285714285;0.7142857142857143;0.10204081632653061;11;6;4;9;13;41.553428571428576
149;21;1;Combined Feedback;3;-3;3;0.42857142857142855;17;3;1;18;0.8571428571428571;19;0.9047619047619048;-0.14285714285714285;0.14285714285714285;0.02040816326530612;3;2;1;3;4;43.512904761904764
150;21;2;No Feedback;0;-1;1;0.14285714285714285;19;1;1;20;0.9523809523809523;19;0.9047619047619048;-0.047619047619047616;0.047619047619047616;0.006802721088435374;1;2;1;1;2;41.16309523809524
151;21;3;Visual Feedback;2;0;0;0.0;21;0;0;21;1.0;21;1.0;0.0;0.0;0.0;0;0;0;0;0;27.332142857142863
156;22;0;No Feedback;0;3;3;0.42857142857142855;20;0;1;20;0.9523809523809523;20;0.9523809523809523;0.14285714285714285;0.14285714285714285;0.02040816326530612;1;1;1;0;1;26.94552380952382
157;22;1;Tactile Feedback;1;0;0;0.0;21;0;0;21;1.0;21;1.0;0.0;0.0;0.0;0;0;0;0;0;28.672333333333334
158;22;2;Combined Feedback;3;0;0;0.0;21;0;0;21;1.0;21;1.0;0.0;0.0;0.0;0;0;0;0;0;27.939047619047614
159;22;3;Visual Feedback;2;0;0;0.0;21;0;0;21;1.0;21;1.0;0.0;0.0;0.0;0;0;0;0;0;26.579571428571438
164;23;0;Visual Feedback;2;-9;9;1.2857142857142856;16;2;3;17;0.8095238095238095;17;0.8095238095238095;-0.42857142857142855;0.42857142857142855;0.06122448979591836;4;4;3;2;5;41.05066666666667
165;23;1;Combined Feedback;3;4;10;1.4285714285714284;14;6;1;15;0.7142857142857143;19;0.9047619047619048;0.19047619047619047;0.47619047619047616;0.06802721088435373;6;2;1;6;7;33.78485714285714
166;23;2;Tactile Feedback;1;8;22;3.1428571428571423;15;2;4;15;0.7142857142857143;17;0.8095238095238095;0.38095238095238093;1.0476190476190477;0.1496598639455782;6;4;4;2;6;29.68247619047619
167;23;3;No Feedback;0;-1;9;1.2857142857142856;18;1;2;18;0.8571428571428571;19;0.9047619047619048;-0.047619047619047616;0.42857142857142855;0.06122448979591836;3;2;2;1;3;31.558142857142858
