No Feedback;Tactile Feedback;Visual Feedback;Combined Feedback
61.55;36.186;33.672000000000004;31.137
31.335;34.994;37.012;31.032000000000004
31.625000000000004;51.211000000000006;29.83;29.801
42.428;42.145;31.142000000000003;28.029000000000003
33.541000000000004;27.729000000000003;35.398;24.629
30.323;65.24300000000001;28.722;27.519
35.954;39.594;57.815000000000005;19.224
38.785;99.544;45.936;41.043
27.974;40.174;30.808000000000003;35.934000000000005
32.197;43.462;52.675;32.832
76.99600000000001;56.952000000000005;52.45;29.544
32.375;37.42;27.095;47.673
22.859;69.751;23.882;45.988
33.435;73.328;38.231;23.641
44.577000000000005;43.691;27.377;22.379
30.012;32.584;27.699;20.837
30.147;50.898;28.944000000000003;47.239
41.745000000000005;35.445;46.455000000000005;99.758
30.127;30.024;57.848000000000006;25.749
40.301;63.085;29.146;22.456000000000003
40.023;22.308;24.471;16.611
63.585;42.875;36.424;28.308000000000003
35.209;60.699000000000005;28.521;25.521
36.72;73.601;21.283;44.900000000000006
26.432;69.962;26.829;20.419
48.817;34.578;26.014000000000003;33.907000000000004
31.256;31.766;21.895000000000003;26.224
33.774;35.134;39.339000000000006;85.461
32.366;34.095;32.987;60.13
28.344;40.674;31.785000000000004;40.565000000000005
56.124;31.243;32.847;40.826
31.046000000000003;32.939;26.681;38.964000000000006
45.184000000000005;22.179;29.483;33.359
39.165;21.138;25.985000000000003;51.795
32.080000000000005;28.557;30.459000000000003;29.341
41.136;21.721;34.989000000000004;26.72
34.882000000000005;24.036;35.167;37.309000000000005
29.692;24.688;27.450000000000003;31.471000000000004
31.888;29.39;51.865;25.218
29.773000000000003;24.476000000000003;27.167;37.367
32.156;26.290000000000003;51.282;44.769000000000005
38.596;29.235000000000003;29.486;32.787
23.363000000000003;22.165000000000003;28.751;29.669
31.441000000000003;45.499;43.502;33.668
27.751;43.677;26.367;34.577000000000005
33.432;35.938;39.746;30.783
26.284;29.003;29.376;38.748000000000005
26.253;29.571;23.967;33.079
36.231;31.713;23.258000000000003;21.588
29.456000000000003;45.129000000000005;21.649;15.39
44.91;29.867;25.785;21.289
43.620000000000005;27.972;39.91;27.102
41.987;23.89;22.274;21.848000000000003
29.346;34.028;26.914;22.891
32.89;32.886;30.250000000000004;19.074
42.057;40.091;24.438;18.003
45.138000000000005;30.493;26.064;17.881
34.275000000000006;41.09;28.556;20.46
22.313;26.438;23.088;19.074
46.409000000000006;44.911;24.761000000000003;25.924000000000003
36.575;24.757;24.954;19.581
46.267;18.999;19.408;30.666
30.949;33.998000000000005;18.959;33.024
47.363;28.247000000000003;21.194000000000003;21.124
29.134;38.524;19.128;25.46
72.683;27.256;39.0;20.344
46.384;33.233000000000004;24.776;25.338
40.255;25.707;26.103;26.9
26.466;51.431;23.907;22.633000000000003
24.432;68.703;48.086000000000006;24.134
21.58;58.874;27.774;21.039
36.275000000000006;73.96300000000001;26.148000000000003;41.953
27.096;64.015;26.07;20.351000000000003
68.807;73.52900000000001;21.875;29.145000000000003
28.711;54.510000000000005;17.888;46.858
21.339;87.087;22.380000000000003;24.133000000000003
21.507;43.808;20.379;31.789
28.785;89.83800000000001;29.248;32.802
26.567;50.062000000000005;22.860000000000003;19.183
44.207;54.931;29.860000000000003;21.001
36.956;64.465;29.622000000000003;33.001000000000005
46.994;52.562000000000005;22.48;20.509
25.561;37.941;24.274;33.018
29.833;40.98;30.803;44.906000000000006
50.499;32.010000000000005;22.959000000000003;20.853
28.384;48.064;28.76;41.955000000000005
51.49;36.694;33.663000000000004;19.448
22.762;43.802;30.47;41.796
55.73500000000001;102.784;45.458000000000006;59.37500000000001
45.477;36.326;24.845;31.679
34.493;50.034000000000006;37.942;51.190000000000005
40.483;29.194000000000003;31.362;84.561
54.71;23.507;31.152;33.728
62.883;33.353;30.944000000000003;36.381
31.368;28.382;36.092;42.581
24.937;40.283;27.579;47.316
24.464;22.448;26.891;40.891000000000005
63.82300000000001;44.259;29.497000000000003;42.124
29.53;25.183;29.278;31.502
40.378;65.706;36.612;45.292
27.894;31.78;24.414;42.631
36.532;30.833;27.0;29.837000000000003
33.455000000000005;50.573;30.542;35.858000000000004
30.062;43.023;33.938;29.897
23.538;32.568000000000005;39.549;47.599
25.837000000000003;28.091;28.975;30.12
30.609;29.371;24.046000000000003;36.367
32.307;31.956000000000003;22.447000000000003;39.373000000000005
