;ProbandId;TrialNumber;Condition;ShowNumberCount;BlockId;LayerChangeCount;Difference
1434;16;18;No Feedback;8;0.0;32.0;24.0
1435;16;19;No Feedback;7;0.0;36.0;29.0
1436;16;20;No Feedback;5;0.0;34.0;29.0
1437;16;21;Tactile Feedback;13;1.0;29.0;16.0
1438;16;22;Tactile Feedback;8;1.0;24.0;16.0
1439;16;23;Tactile Feedback;10;1.0;25.0;15.0
1440;16;24;Tactile Feedback;15;1.0;42.0;27.0
1441;16;25;Tactile Feedback;9;1.0;32.0;23.0
1442;16;26;Tactile Feedback;9;1.0;27.0;18.0
1443;16;27;Tactile Feedback;10;1.0;40.0;30.0
1444;16;28;Tactile Feedback;9;1.0;21.0;12.0
1445;16;29;Tactile Feedback;11;1.0;29.0;18.0
1446;16;30;Tactile Feedback;11;1.0;74.0;63.0
1447;16;31;Tactile Feedback;7;1.0;14.0;7.0
1448;16;32;Tactile Feedback;8;1.0;15.0;7.0
1449;16;33;Tactile Feedback;8;1.0;24.0;16.0
1450;16;34;Tactile Feedback;12;1.0;26.0;14.0
1451;16;35;Tactile Feedback;8;1.0;20.0;12.0
1452;16;36;Tactile Feedback;10;1.0;32.0;22.0
1453;16;37;Tactile Feedback;10;1.0;17.0;7.0
1454;16;38;Tactile Feedback;8;1.0;22.0;14.0
1455;16;39;Tactile Feedback;8;1.0;40.0;32.0
1456;16;40;Tactile Feedback;7;1.0;18.0;11.0
1457;16;41;Tactile Feedback;8;1.0;16.0;8.0
1458;16;42;Visual Feedback;8;2.0;14.0;6.0
1459;16;43;Visual Feedback;10;2.0;26.0;16.0
1460;16;44;Visual Feedback;9;2.0;14.0;5.0
1461;16;45;Visual Feedback;10;2.0;16.0;6.0
1462;16;46;Visual Feedback;14;2.0;14.0;0.0
1463;16;47;Visual Feedback;9;2.0;13.0;4.0
1464;16;48;Visual Feedback;13;2.0;16.0;3.0
1465;16;49;Visual Feedback;7;2.0;15.0;8.0
1466;16;50;Visual Feedback;9;2.0;22.0;13.0
1467;16;51;Visual Feedback;7;2.0;14.0;7.0
1468;16;52;Visual Feedback;9;2.0;24.0;15.0
1469;16;53;Visual Feedback;10;2.0;20.0;10.0
1470;16;54;Visual Feedback;8;2.0;26.0;18.0
1471;16;55;Visual Feedback;7;2.0;16.0;9.0
1472;16;56;Visual Feedback;7;2.0;14.0;7.0
1473;16;57;Visual Feedback;19;2.0;28.0;9.0
1474;16;58;Visual Feedback;10;2.0;13.0;3.0
1475;16;59;Visual Feedback;8;2.0;14.0;6.0
1476;16;60;Visual Feedback;7;2.0;14.0;7.0
1477;16;61;Visual Feedback;7;2.0;14.0;7.0
1478;16;62;Visual Feedback;9;2.0;20.0;11.0
1479;16;63;Combined Feedback;10;3.0;16.0;6.0
1480;16;64;Combined Feedback;14;3.0;26.0;12.0
1481;16;65;Combined Feedback;9;3.0;19.0;10.0
1482;16;66;Combined Feedback;9;3.0;13.0;4.0
1483;16;67;Combined Feedback;8;3.0;13.0;5.0
1484;16;68;Combined Feedback;10;3.0;17.0;7.0
1485;16;69;Combined Feedback;11;3.0;24.0;13.0
1486;16;70;Combined Feedback;14;3.0;21.0;7.0
1487;16;71;Combined Feedback;8;3.0;18.0;10.0
1488;16;72;Combined Feedback;8;3.0;13.0;5.0
1489;16;73;Combined Feedback;9;3.0;19.0;10.0
1490;16;74;Combined Feedback;7;3.0;15.0;8.0
1491;16;75;Combined Feedback;9;3.0;13.0;4.0
1492;16;76;Combined Feedback;13;3.0;26.0;13.0
1493;16;77;Combined Feedback;12;3.0;27.0;15.0
1494;16;78;Combined Feedback;8;3.0;18.0;10.0
1495;16;79;Combined Feedback;13;3.0;24.0;11.0
1496;16;80;Combined Feedback;7;3.0;12.0;5.0
1497;16;81;Combined Feedback;15;3.0;31.0;16.0
1498;16;82;Combined Feedback;15;3.0;34.0;19.0
1499;16;83;Combined Feedback;8;3.0;16.0;8.0
1500;17;-8;Combined Feedback;16;;;
1501;17;-7;Combined Feedback;9;;;
1502;17;-6;Visual Feedback;8;;;
1503;17;-5;Visual Feedback;10;;;
1504;17;-4;Tactile Feedback;10;;;
1505;17;-3;Tactile Feedback;17;;;
1506;17;-2;No Feedback;13;;;
1507;17;-1;No Feedback;8;;;
1508;17;0;No Feedback;7;-4.0;14.0;7.0
1509;17;0;No Feedback;7;-4.0;14.0;7.0
1510;17;0;No Feedback;7;-3.0;14.0;7.0
1511;17;0;No Feedback;7;-3.0;14.0;7.0
1512;17;0;No Feedback;7;-2.0;14.0;7.0
1513;17;0;No Feedback;7;-2.0;14.0;7.0
1514;17;0;No Feedback;7;-1.0;14.0;7.0
1515;17;0;No Feedback;7;-1.0;14.0;7.0
1516;17;0;No Feedback;7;0.0;14.0;7.0
1517;17;1;No Feedback;8;0.0;18.0;10.0
1518;17;2;No Feedback;7;0.0;14.0;7.0
