No Feedback;Tactile Feedback;Visual Feedback;Combined Feedback
66.632;41.163;38.775000000000006;34.312000000000005
36.543;40.952000000000005;41.024;33.951
36.168;55.919;33.504000000000005;32.816
46.304;50.054;34.28;30.989
38.661;35.223;40.704;28.791
34.223;69.063;35.208000000000006;30.912000000000003
39.961000000000006;43.709;63.288;23.941000000000003
42.239;103.72;48.416;44.607
30.416;44.143;34.68;39.95
34.943000000000005;47.632000000000005;55.209;39.248000000000005
79.474;63.79900000000001;54.667;36.706
34.719;41.519000000000005;34.438;52.815000000000005
25.536;75.2;26.719;51.196000000000005
35.535000000000004;78.167;41.24;26.076
49.615;54.419;29.623;24.911
33.086;37.934000000000005;29.871;24.703000000000003
32.800000000000004;58.418000000000006;33.024;49.712
44.058;43.205000000000005;48.762;101.702
33.334;35.239000000000004;61.227;27.8
44.954;66.44;36.187000000000005;26.423
42.401;25.941000000000003;27.104000000000003;18.943
66.24600000000001;46.657;38.703;30.975
42.826;63.775000000000006;33.065000000000005;28.503
40.970000000000006;77.93400000000001;23.799000000000003;47.119
31.143;76.05000000000001;34.689;22.599
51.858;39.462;28.448;40.512
36.752;35.326;25.232000000000003;28.395000000000003
37.544;39.489;42.777;90.757
34.759;36.387;37.04;62.694
29.87;43.264;33.296;42.36
58.056;33.480000000000004;34.839;42.879000000000005
33.135000000000005;35.503;28.912000000000003;42.343
48.631;23.945;31.536;35.647000000000006
41.696000000000005;23.024;28.679;53.855
34.127;30.719;32.799;31.231
42.752;24.263;38.096;29.399
37.447;26.72;37.624;39.599
31.615;27.055000000000003;29.526000000000003;33.087
33.311;32.473;54.944;26.529
31.815;26.528;28.896;39.056
34.216;28.583;53.208000000000006;46.911
40.566;32.144000000000005;31.151000000000003;34.615
25.647;24.4;31.046000000000003;31.544
33.913000000000004;48.040000000000006;45.632000000000005;36.095
29.856;47.136;28.759;36.544
35.105000000000004;38.047;42.934000000000005;33.111000000000004
28.439;31.176;32.167;41.27
27.863000000000003;32.760000000000005;26.255000000000003;35.528
39.656000000000006;36.248000000000005;28.895000000000003;24.880000000000003
32.495000000000005;46.843;25.319000000000003;17.775000000000002
47.32;33.64;28.352;23.304
46.175;30.622000000000003;41.847;29.568
45.095000000000006;26.536;25.007;24.056
32.424;35.871;29.119000000000003;24.967
34.952000000000005;35.216;34.92;21.471
44.241;43.432;27.15;21.104000000000003
48.73500000000001;32.295;28.391;21.151
36.743;42.951;31.216;22.792
26.623;28.344;25.711;20.96
48.775000000000006;47.688;26.871;28.152
39.568000000000005;27.272;26.904;21.519
49.808;21.336;21.494;32.383
33.966;36.224;21.103;35.032000000000004
49.752;30.392000000000003;23.982000000000003;22.8
32.784;40.84;21.999;27.463
75.224;30.047;42.728;22.112
57.173;36.512;28.543000000000003;27.4
42.651;27.751;28.727;31.488000000000003
28.479000000000003;53.631;27.111;24.784
28.369000000000003;73.12400000000001;59.945;28.625000000000004
24.164;62.382000000000005;31.277;23.164
38.895;78.00800000000001;32.655;46.263000000000005
33.087;67.64800000000001;30.624;23.063
74.048;78.159;24.872;32.647000000000006
31.248;58.524;20.846;49.368
24.119;90.239;25.224;26.601000000000003
25.519;46.726000000000006;24.318;34.495000000000005
31.624;94.615;34.183;38.775000000000006
29.287000000000003;54.080000000000005;27.287000000000003;22.895000000000003
46.375;57.775000000000006;56.855;23.287000000000003
40.663;67.863;58.348000000000006;36.23
53.953;55.472;25.656;26.303
30.479000000000003;41.095000000000006;27.502;36.247
33.687000000000005;43.775000000000006;33.408;48.008
56.704;34.967;25.399;23.383000000000003
32.168;52.120000000000005;33.136;44.424
54.751000000000005;39.719;36.935;22.072000000000003
26.047;47.375;34.271;44.679
61.016000000000005;111.566;48.84;66.48
49.072;40.557;29.585;38.724
38.84;56.016000000000005;42.368;57.006
43.959;33.201;34.576;89.839
57.55200000000001;26.431;34.184000000000005;37.086000000000006
66.751;36.736;33.608000000000004;41.176
36.815000000000005;31.64;39.639;47.152
28.183000000000003;43.831;30.96;50.623000000000005
29.328000000000003;25.726000000000003;30.109;45.081
67.12700000000001;47.447;32.911;45.791
32.367000000000004;28.520000000000003;32.727000000000004;35.119
43.455000000000005;69.13600000000001;39.535;48.575
31.160000000000004;36.302;27.040000000000003;45.655
39.336000000000006;34.919000000000004;29.903;33.759
36.488;54.247;33.302;38.871
33.178000000000004;46.152;37.105;33.976
26.544;36.488;42.663;50.278000000000006
29.239;31.504;31.727;32.943000000000005
34.495000000000005;32.927;27.127;39.583000000000006
35.615;35.303000000000004;24.953000000000003;42.823
30.680000000000003;43.903000000000006;25.823;30.143
33.215;46.563;29.486;31.023000000000003
30.936000000000003;40.776;25.984;44.591
44.992;36.902;39.832;30.608
46.605;30.407000000000004;32.103;41.247
37.143;59.566;24.023000000000003;24.630000000000003
35.895;29.663;24.487;23.743
27.672;50.535;27.008000000000003;24.319000000000003
28.719;39.440000000000005;75.28800000000001;20.647
27.655;39.095000000000006;30.221000000000004;41.416
45.423;39.999;33.535000000000004;32.974000000000004
23.759;37.063;30.487;25.536
23.679;31.895000000000003;40.031000000000006;24.431
50.087;24.151;29.112;22.639000000000003
39.521;34.919000000000004;30.672;20.119
32.336;42.846;25.592;24.514000000000003
47.031000000000006;33.128;26.256;23.687
36.383;46.168000000000006;26.351000000000003;20.841
38.766000000000005;20.936;52.271;21.360000000000003
32.535000000000004;30.191000000000003;30.049000000000003;32.32
34.143;35.551;37.631;41.744
42.343;64.328;20.432;21.223000000000003
37.103;51.484;26.087000000000003;25.256
41.687000000000005;58.408;28.103;43.616
47.304;53.936;33.152;34.896
62.727;26.573;24.502;35.728
62.895;32.928000000000004;63.687000000000005;31.406
39.0;34.888000000000005;36.414;63.12800000000001
51.559000000000005;44.718;46.398;40.823
38.328;61.48;49.248000000000005;29.439000000000004
27.880000000000003;42.863;44.56;24.944000000000003
44.095000000000006;43.449000000000005;34.919000000000004;41.167
52.99100000000001;55.903000000000006;31.520000000000003;31.399
42.622;24.375;25.847;30.263
48.168000000000006;29.999;42.567;33.672000000000004
32.814;46.551;26.807;30.727
46.481;81.00800000000001;37.488;40.104
32.087;71.431;24.112;30.592
29.303;25.656;28.352;24.849
55.096;34.184000000000005;32.992000000000004;29.056
108.297;59.49400000000001;45.152;26.12
38.471;68.72800000000001;63.287000000000006;27.96
33.567;68.44800000000001;44.857;31.832
31.031;39.607;36.103;31.624
43.656000000000006;51.225;55.767;27.103
31.695;43.664;22.183;52.745000000000005
27.304;17.462;35.632000000000005;19.959
24.399;29.792;28.071;21.719
39.07;30.976000000000003;20.568;23.792
29.848000000000003;22.712;24.927000000000003;20.479000000000003
37.456;60.063;22.815;33.4
33.824000000000005;40.967000000000006;53.567;31.455
56.032;42.361;38.519000000000005;25.359
40.03;48.799;33.768;36.783
88.94300000000001;19.999;28.784;37.264
35.671;58.06400000000001;28.984;25.32
68.048;32.768;27.040000000000003;38.141000000000005
28.0;32.904;37.959;30.616000000000003
29.895000000000003;20.294;35.184000000000005;20.872
21.248;49.168000000000006;26.96;20.376
74.423;50.575;32.847;18.911
55.984;37.6;22.040000000000003;22.184
62.326;18.591;31.799000000000003;15.567
23.033;31.392000000000003;35.231;18.4
